SEXO;IDADE;DIA_MES;DIA_SEMANA;HORA_RETIRADA;TEMPO_TOTAL;ENDERECO_RETIRADA;LATITUDE;LONGITUDE
1;24;1;6;15;180;UNB áre 1, em frente  Bibliotec Centrl - BCE;-15.7609071;-47.8699691
1;38;1;6;7;180;SCS - QD 01;-15.7993464;-47.8866213
1;22;1;6;16;180;UNB áre 1, em frente o PT (Pvilhão nísio Teixeir);-15.7595709;-47.8705354
0;25;1;6;19;180;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
0;45;1;6;19;180;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
1;47;1;6;19;180;CLN 403;-15.7797898;-47.8782012
1;39;1;6;21;180;SHS, QD. 06;-15.7926277;-47.8957922
1;24;1;6;23;180;SQS 305;-15.8085221;-47.899365
1;24;1;6;23;180;SQS 305;-15.8085221;-47.899365
0;24;2;7;7;180;SDC, Lote 5, Vi de Ligção N1/S1;-15.7898915;-47.8967584
1;68;2;7;10;180;SQS 305;-15.8085221;-47.899365
1;24;2;7;11;180;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
1;27;2;7;16;50;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
0;31;2;7;17;50;PMU, Eixo Monumentl Ldo Oeste, Prç do Cruzeiro;-15.783907;-47.9164933
1;28;2;7;18;50;SHS, QD. 06;-15.7926277;-47.8957922
1;50;2;7;18;50;SHS, QD. 06;-15.7926277;-47.8957922
1;26;2;7;19;50;SHS, QD. 06;-15.7926277;-47.8957922
0;28;3;1;9;50;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
0;22;3;1;10;50;SHS, QD. 06;-15.7926277;-47.8957922
0;22;3;1;10;50;SHS, QD. 06;-15.7926277;-47.8957922
1;26;3;1;10;50;CLN 403;-15.7797898;-47.8782012
0;33;3;1;11;50;Eixo Monumentl Ldo Oeste, Estcionmento Vi S1, em frente o TJDF;-15.7863445;-47.9088556
0;24;3;1;16;50;UNB áre 2, em frente o cesso o Centro Olímpico;-15.7533247;-47.8894441
1;40;3;1;19;50;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
1;24;3;1;20;50;Eixo Monumentl Ldo Oeste, SDC, Estcionmento Vi de Ligção S1/N1;-15.7879172;-47.9028855
1;22;3;1;21;50;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
1;28;3;1;22;50;EQS 102 / 103;-15.8046388;-47.8929846
1;31;4;2;14;50;SDC, Lote 5, Vi de Ligção N1/S1;-15.7898915;-47.8967584
